NTA code, NTA name,
"BK0104","East Williamsburg",
"BK0101","Greenpoint",
"BK0103","South Williamsburg",
"BK0102","Williamsburg",
"BK0201","Brooklyn Heights",
"BK0261","Brooklyn Navy Yard",
"BK0204","Clinton Hill",
"BK0202","Downtown Brooklyn-DUMBO-Boerum Hill",
"BK0203","Fort Greene",
"BK0302","Bedford-Stuyvesant (East)",
"BK0301","Bedford-Stuyvesant (West)",
"BK0402","Bushwick (East)",
"BK0401","Bushwick (West)",
"BK0471","The Evergreens Cemetery",
"BK0571","Highland Park-Cypress Hills Cemeteries (South)",
"BK0501","Cypress Hills",
"BK0505","East New York-City Line",
"BK0502","East New York (North)",
"BK0503","East New York-New Lots",
"BK0504","Spring Creek-Starrett City",
"BK0601","Carroll Gardens-Cobble Hill-Gowanus-Red Hook",
"BK0602","Park Slope",
"BK0771","Green-Wood Cemetery",
"BK0703","Sunset Park (Central)",
"BK0702","Sunset Park (West)",
"BK0701","Windsor Terrace-South Slope",
"BK0802","Crown Heights (North)",
"BK0891","Lincoln Terrace Park",
"BK0801","Prospect Heights",
"BK0901","Crown Heights (South)",
"BK0902","Prospect Lefferts Gardens-Wingate",
"BK1001","Bay Ridge",
"BK1091","Dyker Beach Park",
"BK1002","Dyker Heights",
"BK1061","Fort Hamilton",
"BK1101","Bensonhurst",
"BK1102","Bath Beach",
"BK1103","Gravesend (West)",
"BK1202","Borough Park",
"BK1203","Kensington",
"BK1204","Mapleton-Midwood (West)",
"BK1201","Sunset Park (East)-Borough Park (West)",
"BK1303","Brighton Beach",
"BK1391","Calvert Vaux Park",
"BK1302","Coney Island-Sea Gate",
"BK1301","Gravesend (South)",
"BK1401","Flatbush",
"BK1402","Flatbush (West)-Ditmas Park-Parkville",
"BK1403","Midwood",
"BK1501","Gravesend (East)-Homecrest",
"BK1502","Madison",
"BK1503","Sheepshead Bay-Manhattan Beach-Gerritsen Beach",
"BK1602","Brownsville",
"BK1601","Ocean Hill",
"BK1701","East Flatbush-Erasmus",
"BK1702","East Flatbush-Farragut",
"BK1703","East Flatbush-Rugby",
"BK1704","East Flatbush-Remsen Village",
"BK1771","Holy Cross Cemetery",
"BK1803","Canarsie",
"BK1893","Canarsie Park & Pier",
"BK1801","Flatlands",
"BK1892","McGuire Fields",
"BK1802","Marine Park-Mill Basin-Bergen Beach",
"BK1891","Marine Park-Plumb Island",
"BK5591","Prospect Park",
"BK5691","Barren Island-Floyd Bennett Field",
"BK5692","Jamaica Bay (West)",
"BK5693","Shirley Chisholm State Park",
"BX0102","Melrose",
"BX0101","Mott Haven-Port Morris",
"BX0291","North & South Brother Islands",
"BX0201","Hunts Point",
"BX0202","Longwood",
"BX0302","Claremont Village-Claremont (East)",
"BX0391","Crotona Park",
"BX0303","Crotona Park East",
